Timepoint	0m	15m	180m	2880m	5760m	15m	180m	2880m	5760m
AT3G63160.1	0.615099525	0.606159244	0.635297232	0.603468522	0.436690024	0.352367887	0.444884417	0.399841074	0.427207439
AT3G13860.1	0.449443798	0.545511249	0.762980394	0.637939642	0.696022431	0.585462485	0.715792732	0.594960234	0.657909526
"AT3G11400.2;AT3G11400.1"	0.645999067	0.821246718	0.703271961	0.528058491	0.466313808	1.127740048	0.547535707	1.025353258	0.455265919
"AT2G31610.1;AT5G35530.1"	0.769463904	0.757362457	0.748436679	0.55990729	0.499080758	0.463382604	0.48377381	0.523701833	0.469062834
"AT1G67280.2;AT1G67280.1"	0.65213336	0.650032022	0.732585111	0.607539587	0.676611688	0.518240413	0.569935459	0.665896301	0.706401238
"AT3G49010.7;AT3G49010.5;AT3G49010.2;AT3G49010.1;AT3G49010.6;AT3G49010.4;AT3G49010.3;AT3G48960.1;AT5G23900.1"	0.727045514	0.752448139	0.741906416	0.567378539	0.518510766	0.469264083	0.493611401	0.546948537	0.507883311
"AT2G47730.2;AT2G47730.1"	0.612636155	0.695890221	0.730351294	0.842321196	1.020596911	0.946503402	1.043234544	1.025306121	0.988984057
"AT3G46030.1;AT5G02570.1;AT2G28720.1;AT5G22880.1;AT3G09480.1;AT2G37470.1;AT3G45980.1;AT5G59910.1;AT1G07790.1"	0.978307826	1.142686489	1.084280571	0.95427181	0.950021368	0.958457953	0.894637044	1.044360793	0.972523933
"AT1G72370.2;AT1G72370.1;AT3G04770.2;AT3G04770.1"	0.424841452	0.779716236	0.708086973	0.606017573	0.533961832	0.57502311	0.504511921	0.517985596	0.531631839
ATCG00800.1	0.935682897	0.89635181	0.847769946	0.722169368	0.590306122	0.486087377	0.552730914	0.61041227	0.520869476
"AT2G24060.1;AT4G30690.2;AT4G30690.1"	0.930451529	0.853718185	0.928723461	0.738180237	0.772049412	0.698118051	0.642861764	0.731877549	0.635549998
AT1G02150.1	0.97814504	0.879349802	0.836565976	0.74728559	0.755002447	0.742022318	0.588189103	0.865135668	0.609473104
"AT5G17920.1;AT5G17920.2;AT5G20980.2;AT5G20980.1"	0.77496694	0.806588859	0.780247809	0.688217446	0.626941671	0.625037082	0.598605416	0.66154842	0.603364602
AT3G46780.1	0.577393592	1.03589251	0.969089195	1.08735579	1.02945853	0.929786039	0.938581165	0.972407945	0.932339521
"AT2G30950.4;AT2G30950.3;AT2G30950.2;AT2G30950.1"	0.888916359	0.7532697	0.711656779	0.581944878	0.548432384	0.496055126	0.496486675	0.628910968	0.599177976
"AT5G43330.1;AT1G04410.1"	0.794187626	0.577047685	0.526214398	0.552394655	0.555027509	0.540070482	0.589728771	0.508930227	0.609944895
AT5G63310.1	0.737312988	0.83556325	0.815055653	0.800617138	0.767608414	0.709821226	0.72394557	0.820845412	0.72047168
"AT4G27230.1;AT4G27230.2;AT5G59870.1;AT1G54690.1;AT5G27670.1;AT3G20670.1;AT1G08880.1;AT1G52740.1;AT1G51060.1;AT5G54640.1"	0.958676808	1.236636606	1.210644787	1.026203604	1.043134886	0.982961718	0.97616296	1.022051539	1.076552592
"AT2G17360.1;AT5G58420.1;AT5G07090.3;AT5G07090.2;AT5G07090.1"	0.718780459	0.807279011	0.799784554	0.600694762	0.543607172	0.447687668	0.506721373	0.524677964	0.497209686
AT1G56580.1	0.928683427	1.616303077	1.039656585	0.972706653	1.200479508	0.995948198	1.053052219	1.432778866	0.836747738
"AT1G30690.1;AT1G30690.2"	1.997132961	1.136845199	2.041246127	1.080243513	1.277842142	1.361641578	1.156846182	0.849072672	0.928341789
"AT5G67500.3;AT5G67500.2"	0.485484122	0.628769705	0.577952494	0.609102414	0.617622306	0.644615664	0.623185187	0.776678407	0.729471808
AT5G13510.1	0.742855182	0.801749631	0.783350801	0.638761201	0.547781127	0.474387289	0.525038699	0.640260578	0.526944588
"AT5G15200.1;AT5G15200.2"	0.575981266	0.788865385	0.719006058	0.599609523	0.573600676	0.46225369	0.437892495	0.56310049	0.575749432
"AT3G01390.4;AT3G01390.2;AT3G01390.1;AT3G01390.3"	0.702367608	0.870740435	0.567013991	0.746301969	0.959256197	0.896298613	0.838022536	1.013794022	0.961320076
"AT1G78900.2;AT1G78900.1"	0.696984706	0.640287568	0.657664849	0.727265406	0.832547849	0.796751778	0.759468273	0.869424028	0.843235329
AT3G63140.1	0.575057612	0.683947863	0.694899342	0.609278414	0.509421907	0.469274684	0.442523654	0.55545215	0.519355726
"AT4G27440.2;AT4G27440.1"	0.777054023	1.057474816	1.095460138	0.673334765	0.627118838	0.469395192	0.550056021	0.659287528	0.829710951
"AT3G01500.2;AT3G01500.1;AT3G01500.3;AT3G01500.4"	0.717929573	0.701192388	0.580787454	0.719368406	0.624256475	0.553393929	0.580180808	0.616422231	0.547854712
"AT3G02870.3;AT3G02870.2;AT3G02870.1"	0.764394302	0.850366938	0.742480166	0.685135868	0.404446124	1.141070752	0.516125179	0.519316637	0.499274044
AT3G29185.1	1.153749217	3.592590308	2.249548256	2.40345011	1.443271819	3.740249813	1.986048971	2.396967764	0.895116041
AT1G29900.1	0.725898631	0.670575738	0.738452169	0.662797003	0.767010198	0.658206975	0.61613576	0.701082414	0.662380955
"AT1G50370.1;AT3G19980.1"	0.958325502	0.701182328	0.626932661	0.689526972	0.688747691	0.736960085	0.588564042	0.703341274	0.676749017
AT2G22170.1	0.950264923	1.706837986	1.440761339	1.43573797	2.103209659	2.548481385	2.56893272	1.839363839	3.022747203
"AT4G24620.1;AT4G24620.2"	0.629809518	0.677625551	0.642255901	0.66443851	0.668753843	0.602390343	0.693786182	0.72210706	0.675008364
"AT2G42590.2;AT2G42590.1;AT2G42590.3"	1.074729775	0.746575523	0.680656311	0.809736915	0.954806176	0.887707602	0.848673746	0.88498259	0.848146783
"AT5G38430.2;AT5G38430.1;AT5G38410.2;AT5G38410.1;AT5G38410.3;AT5G38420.1"	0.704573905	0.693885101	0.727625306	0.73978381	0.756366153	0.55125482	0.637516021	0.723592446	0.690705431
AT2G25060.1	0.815918824	1.868634218	1.24893039	1.39460536	0.840659479	0.871322676	0.81881172	0.856001822	0.832868001
"AT4G22690.1;AT4G22710.1"	0.423304033	0.608074914	0.601492594	0.447979971	0.876267353	0.825900562	0.575707956	1.012697242	1.149856215
"AT3G55440.1;AT2G21170.3;AT2G21170.1"	0.660346955	0.627334356	0.64714323	0.597804956	0.581726251	0.535373687	0.542907146	0.600126998	0.597183802
"AT1G79930.1;AT1G79930.2;AT1G79920.1;AT1G79920.3;AT1G79920.2;AT1G79920.4"	0.534126279	0.710679433	0.621118692	0.734736797	0.71125175	0.681604241	0.636657867	0.689474001	0.583406555
ATCG00540.1	0.77345371	0.799312424	0.826827212	0.689063746	0.59769894	0.532858059	0.561970603	0.695342588	0.636622802
ATCG00580.1	0.961546232	1.053524068	1.00107677	0.946120015	0.852493457	0.785105134	0.822222853	0.89291192	0.885501926
"AT5G35360.3;AT5G35360.1;AT5G35360.2"	0.691327093	1.023398306	1.04793507	0.975679172	0.877226045	0.856338995	0.908318846	0.908404094	0.781076223
AT2G20890.1	0.803695201	0.835176032	0.818378878	0.736540597	0.746101898	0.623954038	0.638336167	0.715217376	0.717018737
"AT3G14420.4;AT3G14420.6;AT3G14420.5;AT3G14420.3;AT3G14420.1;AT3G14420.2"	0.44216843	0.66538801	0.615886355	0.714774912	0.760988491	0.638053245	0.592869512	0.72339751	0.672998209
AT3G52380.1	0.906436562	0.677756519	0.619659905	0.463898071	0.373096076	0.346555821	0.315064105	0.438293596	0.406290503
"AT3G60750.2;AT3G60750.1"	0.649794137	0.696924218	0.61078555	0.620184573	0.583683064	0.491769284	0.515093007	0.569436642	0.533958114
AT2G33150.1	0.446883038	0.574662297	0.560165129	0.747589068	0.880327646	0.846463699	0.821066778	0.840236208	0.80420226
"AT1G21750.1;AT1G21750.2"	0.571143512	0.430610695	0.413434142	0.457595111	0.431176628	0.404021566	0.427108899	0.583280235	0.535030753
"AT5G19940.1;AT5G19940.2"	1.056344722	1.191097515	1.270087997	1.388896909	1.152218266	1.07717059	1.028155588	1.080530994	1.094366819
"ATCG00900.1;ATCG01240.1"	0.566880908	0.872104867	0.793780848	0.649122501	0.566490743	0.512209232	0.821035255	0.55175861	0.588054545
AT4G29060.1	0.82732662	0.682372444	0.791166933	0.600204561	0.584468175	0.60381121	0.491487147	0.538282342	0.486217091
