ProteinGroup	Bin	TP0HS	TP24HS	TP1R	TP2R	TP4R	TP8R	TP0HSsdev	TP24HSsdev	TP1Rsdev	TP2Rsdev	TP4Rsdev	TP8Rsdev	Anova	HCluster
Cre13.g568900.t1.p1	29.2.1.2.2.017	0.084838232	-0.232868802	-0.383201409	-0.171212762	-0.271510047	-0.152431602	0.355781641	0.252633976	0.424612343	0.161968961	0.42482038	0.373119183	0.041735789	1360.1358.1356.1336.1330.1325.1297.1258.1240.1193.1047.962.878.68
Cre06.g309100.t1.p1	29.6.2.2	-0.497162983	0.961900704	1.006845639	0.911288922	0.746745374	0.438787029	0.220639428	0.134939586	0.18299049	0.223084117	0.156398549	0.209398434	0.0	1360.1359.1342.1337.1317.1194.1107.877.69
Cre14.g618800.t1.p1	35.2	-1.242041708	0.473735027	-2.23765256	-1.500001253	0.674625059	-2.662243938	0.716977053	1.771236205	0.921752288	1.341600787	2.573237145	0.773317374	0.001981607	1360.1358.1355.1352.1345.1340.1318.70
Cre12.g484050.t1.p1	29.2.1.2.2.036	-0.04569039	-0.466901495	-0.187258054	-0.159780005	-0.049540754	0.107195403	0.227095784	0.571942307	0.2522688	0.274997224	0.274130102	0.285805411	8.49e-05	1360.1358.1356.1351.1315.1269.1222.1153.1131.952.842.71
Cre12.g509650.t1.p1	16.1.4.02	0.06128373	-1.291772634	-0.823525508	-0.88952345	-0.925725369	-0.615872015	0.155736745	0.542908182	0.477110114	0.544816208	0.43861157	0.146252819	1.45e-05	1360.1358.1356.1336.1330.1294.1216.1159.1115.72
Cre09.g391450.t1.p1	21.99	-1.408526288	1.33425567	1.252435818	1.278038824	1.370458046	0.72162668	0.376657636	0.439242936	0.823373786	0.596890493	0.640678478	0.228259189	6.7e-13	1360.1359.1342.1337.1327.1290.1267.1175.73
Cre10.g456100.t1.p1	31.6.1.9	-0.311652484	0.379894401	0.145661278	0.607526723	0.006301907	0.338439752	0.295197906	0.43108582	0.743195112	0.23629906	0.807220403	0.230386579	0.007291958	1360.1359.1357.1350.1306.1296.1286.1201.1060.74
Cre11.g480150.t1.p1	29.2.1.2.1.014	-0.004447518	-0.163572083	-0.11695989	-0.163871965	-0.105750631	0.062841254	0.122070189	0.123260139	0.171861455	0.199777879	0.070836022	0.17199488	1.95e-05	1360.1358.1356.1351.1315.1282.1227.1095.1008.927.751.75
Cre02.g132800.t1.p1	1.1.1.2	-0.089956383	0.626948983	0.523438139	0.501678254	0.368969286	0.275734789	0.257337169	0.439823603	0.27340833	0.282885149	0.192731466	0.213805633	3.39e-10	1360.1359.1357.1350.1306.1296.1234.1130.975.817.76
Cre05.g247600.t1.p1	29.5.11.03	0.158836509	-0.449967347	-0.271468982	-0.356895588	-0.158156835	-0.022501206	0.157659518	0.438336789	0.414595603	0.340138123	0.162516223	0.257669905	0.001959997	1360.1358.1356.1336.1330.1325.1285.1237.1157.1100.968.800.77
Cre13.g566000.t1.p1	25	-0.159192394	-0.185410644	-0.297951624	-0.301626366	-0.370112	-0.579005114	0.111861365	0.330968715	0.119486109	0.208887394	0.193376273	0.431113202	0.022313482	1360.1359.1357.1354.1346.1335.1329.1304.1284.1279.1235.1019.918.78
Cre13.g566000.t1.p1	25.08	-0.159192394	-0.185410644	-0.297951624	-0.301626366	-0.370112	-0.579005114	0.111861365	0.330968715	0.119486109	0.208887394	0.193376273	0.431113202	0.022313482	1360.1359.1357.1354.1346.1335.1329.1304.1284.1279.1235.1019.918.78
